Partner,Domain_Raw,Ukraine,Strategic
Asociația Asistenților Sociali „AsproAs” și Centrul de Formare și Evaluare în Asistența Socială - CFCECAS,Pregătire/ Intervenție,da,
Academia de Studii Economice din București,Prevenire,,
Asociația „Societatea Română a Radioamatorilor”,Intervenție,,
Habitat for Humanity Romania,Prevenire/ Intervenție Sprijin pentru protejarea și refacerea locuințelor afectate,da,
Societatea Națională de Cruce Roșie din România (SNCRR),Prevenire/ Pregătire,da,da
Universitatea Babeș-Bolyai,Prevenire,,
Asociația Națională a Salvatorilor Montani din România,Intervenție Căutare-salvare,,
Societatea Română de Televiziune (SRTv),Prevenire,,
Serviciul de Ajutor Maltez în România,Intervenție/ Căutare-salvare,da,da
Asociația Salvatorilor Voluntari 4x4,Intervenție/ Căutare - salvare,da,
OMV Petrom și Petromed Solution SRL,Pregătire/ Prevenire/ Intervenție,,
Asociația Companiilor Chimice din România (ROMCHIMICA),Intervenție/ Dezastre chimice,,da
Asociația „Reducerea Riscului Seismic”,Prevenire,,
Code 4 Romania,IT & C,da,
Fundația Comunitară București,Pregătire/ Prevenire,,
Serviciul de Telecomunicații Speciale (STS),Prevenire/ Intervenție,da,da
Institutul Național de Cercetare – dezvoltare Aerospațială „Elie Carafoli” - INCAS,Intervenție/ Căutare –intervenție aeriană,,
Asociația SALVO,Intervenție/ Servicii sociale,,
Compania Națională de Transport al Energiei Electrice „Transelectrica” - SA,Intervenție/ Restabilirea stării de normalitate,da,
E-Distribuție Banat S.A.,Intervenție/ Restabilirea stării de normalitate,,
E-Distribuție Muntenia S.A.,Intervenție/ Restabilirea stării de normalitate,,
E-Distribuție Dobrogea S.A.,Intervenție/ Restabilirea stării de normalitate,,
Universitatea de Arhitectură și Urbanism „Ion Mincu” - București,Cercetare în cadrul unui proiect,,
Asociația Asociația Medicală Română,Pregătire/ Cercetare,,
Universitatea de Medicină și Farmacie „Carol Davila” - București,Pregătire/ Cercetare,,
Universitatea de Medicină și Farmacie din Craiova,Pregătire/ Cercetare,,
Universitatea de Medicină și Farmacie „Iuliu Hațieganu” - Cluj-Napoca,Pregătire/ Cercetare,,
Universitatea de Medicină și Farmacie „Grigore T. Popa” - Iași,Pregătire/ Cercetare,,
Universitatea de Medicină Farmacie Științe și Tehnologie „George Emil Palade” din Târgu-Mureș,Pregătire/ Cercetare,,
Universitatea de Medicină și Farmacie „Victor Babeș” - Timișoara,Pregătire/ Cercetare,,
Fundația Estuar,Pregătire/ Răspuns,,
Asociația CSR Nest,Pregătire/ Prevenire,,
Organizația Salvați Copiii,Prevenire,,
Societatea de Științe Istorice din România – filiala București,Prevenire,,
Societatea Română de Radiodifuziune,Prevenire,,
Asociația Română pentru Smart City,Prevenire,,
Asociația Studenților la Construcții din București,Prevenire,,
Asociația Proacta EDU,Prevenire,,
Asociația eLiberare,Prevenire  Prevenire trafic persoane/ identificare victime de către cadrele medicale,,
Institutul pentru Studiul și Tratamentul Traumei,Prevenire,,
Asociația Energie Inteligentă,Prevenire/ Pregătire,,
Global Focus,Prevenirea si combaterea dezinformării și manipulării informaționale,,
Colegiul Psihologilor din România,Răspuns,,
Asociația Câini de Salvare București,Intervenție Căutare-salvare,,
Asociația Underdogs,Intervenție Căutare-salvare,,
Asociația Clubul Câinilor Utilitari Asociația Câinii S.A.R. „Gugulania” K9 Mountain Safety Team Caransebeș,Intervenție Căutare-salvare,,
AUTONOM,Sprijin tehnic logistic,,
Asociația Institutul de Cercetare Făgăraș,Pregătire/ Cercetare,da,
Universitatea POLITEHNICA din București,Pregătire/Cercetare,,
Asociația Cluburilor Lions District 124 Romania,Pregătire/ Prevenire/ Intervenție,,
Asociația Camera de Comerț Americană în România (AmCham România),Pregătire/ Prevenire/ Intervenție,,
Uniunea Nationala a Societatilor de Asigurare si Reasigurare din Romania (UNSAR),Pregătire/ Prevenire,,
Universitatea din București Facultatea de Administrație și Afaceri ,Pregătire (practică studenți)/ Cercetare,,
Asociația Sistemul National de Reciclare a Bateriilor (SNRB),Pregătire/ Prevenire/,,
Societatea Națională de Cruce Roșie din România (SNCRR) – IFRC,Intervenție,da,
Societatea Națională de Cruce Roșie din România (SNCRR) – ICRC,Intervenție,da,
Consiliul Național Român pentru Refugiați (CNRR),Pregătire/ Răspuns,da,
Federația Națională a Ghizilor de Turism din România (FNGTR),Pregătire/ Răspuns,,
Asociația Nevăzătorilor din România (ANR),Pregătire/Răspuns,,
Asociația Națională a Surzilor din România (ANSR),Pregătire/Răspuns,,
Asociația Serviciul Iezuiţilor pentru Refugiaţi din România – Jesuit Refugee Service (JRS),Intervenție/Servicii sociale,da,
Asociația Make Better,Prevenire / Pregătire,,
Consiliul Național al Dizabilității din România (CNDR),Prevenire/ Pregătire,,
Autoritatea Națională pentru Protecția Drepturilor Persoanelor cu Dizabilități (ANPDPD),Prevenire/ Pregătire,,
